release_date,time,actual,forcast,previous,year_,month_
"Oct 13, 2022 (Sep)",16:00,0.40%,0.20%,0.10%,2022,9
"Sep 13, 2022 (Aug)",17:00,0.10%,-0.10%,0.00%,2022,8
"Aug 10, 2022 (Jul)",17:00,0.00%,0.20%,1.30%,2022,7
"Jul 13, 2022 (Jun)",17:00,1.30%,1.10%,1.00%,2022,6
"Jun 10, 2022 (May)",17:00,1.00%,0.70%,0.30%,2022,5
"May 11, 2022 (Apr)",17:00,0.30%,0.20%,1.20%,2022,4
"Apr 12, 2022 (Mar)",17:00,1.20%,1.20%,0.80%,2022,3
"Mar 10, 2022 (Feb)",18:00,0.80%,0.80%,0.60%,2022,2
"Feb 10, 2022 (Jan)",18:00,0.60%,0.50%,0.60%,2022,1
"Jan 12, 2022 (Dec)",18:00,0.50%,0.40%,0.80%,2021,12
"Dec 10, 2021 (Nov)",18:00,0.80%,0.70%,0.90%,2021,11
"Nov 10, 2021 (Oct)",18:00,0.90%,0.60%,0.40%,2021,10
"Oct 13, 2021 (Sep)",17:00,0.40%,0.30%,0.30%,2021,9
"Sep 14, 2021 (Aug)",17:00,0.30%,0.40%,0.50%,2021,8
"Aug 11, 2021 (Jul)",17:00,0.50%,0.50%,0.90%,2021,7
"Jul 13, 2021 (Jun)",17:00,0.90%,0.50%,0.60%,2021,6
"Jun 10, 2021 (May)",17:00,0.60%,0.40%,0.80%,2021,5
"May 12, 2021 (Apr)",17:00,0.80%,0.20%,0.60%,2021,4
"Apr 13, 2021 (Mar)",17:00,0.60%,0.50%,0.40%,2021,3
"Mar 10, 2021 (Feb)",18:00,0.40%,0.40%,0.30%,2021,2
"Feb 10, 2021 (Jan)",18:00,0.30%,0.30%,0.20%,2021,1
"Jan 13, 2021 (Dec)",18:00,0.40%,0.40%,0.20%,2020,12
"Dec 10, 2020 (Nov)",18:00,0.20%,0.10%,0.20%,2020,11
"Nov 12, 2020 (Oct)",18:00,0.00%,0.10%,0.20%,2020,10
"Oct 13, 2020 (Sep)",17:00,0.20%,0.20%,0.40%,2020,9
"Sep 11, 2020 (Aug)",17:00,0.40%,0.30%,0.60%,2020,8
"Aug 12, 2020 (Jul)",17:00,0.60%,0.30%,0.60%,2020,7
"Jul 14, 2020 (Jun)",17:00,0.60%,0.50%,-0.10%,2020,6
